JournalInstructions_PAD |= <calendar> 로 달력을 엽니다.
SymptomNameDamp Spirits |= 축축한 영혼
SymptomNameGoosebumps |= 소름끼침
SymptomNameBubble Bobblehat |= 버블 보블모자
SymptomNamePixellation |= 픽셀화
Symptom0NPCCommentBurn |= 화상을 입었어. 피부가 돌아와야해.
Symptom0NPCCommentBurn |= 까맣게 그을린 피부를 교체해야해.
Symptom0NPCCommentBurn |= 불에 머리를 부딪혔는데 머리카락이 다시 자라야해.
Symptom0NPCCommentBurn |= 난로와 하이파이브를 했어.
Symptom1NPCCommentBurn |= 화상을 입어 아파.
Symptom1NPCCommentBurn |= 불길에 부딪혀서 아파.
Symptom1NPCCommentBurn |= 화상을 입어서 아파!
SymptomNameCharmless |= 무매력
Symptom0NPCCommentCharmless |= 누군가를 유혹할 무언가가 필요해.
Symptom0NPCCommentCharmless |= 좀 지루하네.
Symptom0NPCCommentCharmless |= 좀 더 나아지게 도와줘, 바보야.
Symptom1NPCCommentCharmless |= 아침에 일어날 수가 없어. 저녁에도 못 일어나.
Symptom1NPCCommentCharmless |= 중요한 시간에 일을 할 수가 없어.
Symptom1NPCCommentCharmless |= 샘물이 말라버렸어.
Symptom1NPCCommentWound |= 몬스터와 싸우려면 더 강해져야만해.
Symptom1NPCCommentWound |= 더 튼튼한 피부가 필요해.
Symptom1NPCCommentWound |= 몬스터를 죽이는 근육이 더 필요하군.
Symptom0NPCCommentNight Terrors |= 밤에 겁이 나.
Symptom0NPCCommentNight Terrors |= 두려움 때문에 잠을 잘수가 없어.
Symptom0NPCCommentNight Terrors |= 악몽을 꿔.
Symptom1NPCCommentNight Terrors |= 수면에 도움이 필요해.
Symptom1NPCCommentNight Terrors |= 밤에 잠에서 깨.
Symptom1NPCCommentNight Terrors |= 졸음이 쏟아져.
Symptom0NPCCommentConstipation |= 아래에서 막히네.
Symptom0NPCCommentConstipation |= 내 내장을 풀어야해.
Symptom0NPCCommentConstipation |= 며칠 동안 안 했어.
Symptom1NPCCommentConstipation |= 브라운 씨를 구출하려면 강해져야해.
Symptom1NPCCommentConstipation |= 더 유연해져야해.
Symptom1NPCCommentConstipation |= 내 몸에는 갑옷이 필요해.
Symptom0NPCCommentFracture |= 뼈가 부러졌어. 다시 자라야해.
Symptom0NPCCommentFracture |= 뼈에 금이 갔어.
Symptom0NPCCommentFracture |= 뼈에 금이 간 부분을 메워야해.
Symptom1NPCCommentFracture |= 더 튼튼한 뼈가 필요해.
Symptom1NPCCommentFracture |= 내 뼈가 너무 약해.
Symptom1NPCCommentFracture |= 더 튼튼한 골격이 필요해.
Symptom0NPCCommentPossessed |= 나는 영혼에 사로잡힌 것 같아.
Symptom0NPCCommentPossessed |= 마녀가 내 안에 마법을 걸었어.
Symptom0NPCCommentPossessed |= 나는 요즘 나 자신이 아니었어.
Symptom1NPCCommentPossessed |= 또 다른 내가 나를 졸리게 해.
Symptom1NPCCommentPossessed |= 두 개의 마음이 하나에 있으면 피곤해.
Symptom1NPCCommentPossessed |= 게으른 유령에게 홀린 것 같아.
Symptom0NPCCommentSilenced |= 난... 말하려고... 애쓰고 있어.
Symptom0NPCCommentSilenced |= 흠흠흠흠흠.
Symptom0NPCCommentSilenced |= 난... 할 수 없어... 말할 수 없어... 많이.
Symptom1NPCCommentSilenced |= 너무... 많은... 지식을... 공유한다.
Symptom1NPCCommentSilenced |= 자유... 내... 뇌.
Symptom1NPCCommentSilenced |= 나는... 알아... 답을... 알아!
Symptom0NPCCommentMonster Gash |= 메스꺼워.
Symptom0NPCCommentMonster Gash |= 좀 아픈 것 같아.
Symptom0NPCCommentMonster Gash |= 저녁을 토해내고 싶어.
Symptom1NPCCommentMonster Gash |= 괴물이 내 머리를 베었어.
Symptom1NPCCommentMonster Gash |= 큰 상처를 입었어.
Symptom1NPCCommentMonster Gash |= 두피가 찢어졌어.
Symptom2NPCCommentMonster Gash |= 그 공격 이후에 몬스터가 무서워요.
Symptom2NPCCommentMonster Gash |= 계속 두려움에 떨고있어.
Symptom2NPCCommentMonster Gash |= 그 공격은 나에게 큰 충격이었어.
Symptom0NPCCommentBee Hair |= 벌이 무서워.
Symptom0NPCCommentBee Hair |= 윙윙거리는 소리가 두렵워.
Symptom0NPCCommentBee Hair |= 근처를 날아다니는 것들을 참을 수 없다.
Symptom2NPCCommentBee Hair |= 머리에서 역한 냄새가나.
Symptom2NPCCommentBee Hair |= 시럽병 냄새가 나네.
Symptom2NPCCommentBee Hair |= 이 달콤한 향기가 불쾌해.
Symptom0NPCCommentCurse Trumpeting |= 배가 아파.
Symptom0NPCCommentCurse Trumpeting |= 엉덩이에서 바람이 나와.
Symptom0NPCCommentCurse Trumpeting |= 방귀가 계속나와.
Symptom1NPCCommentCurse Trumpeting |= 방귀가 무섭워.
Symptom1NPCCommentCurse Trumpeting |= 엉덩이에서 나쁜 바람이 불어.
Symptom1NPCCommentCurse Trumpeting |= 방귀가 자연스럽지 않아.
Symptom2NPCCommentCurse Trumpeting |= 내가 돌풍을 일으키면 냄새가 난다.
Symptom2NPCCommentCurse Trumpeting |= 나는 밖을 오염시키고 있어.
Symptom2NPCCommentCurse Trumpeting |= 내 방귀에서 썩은 순무 냄새가 나.
Symptom0NPCCommentBucolic Plague |= 엄청 느려진 것 같아.
Symptom0NPCCommentBucolic Plague |= 빨리 움직일수가 없어.
Symptom0NPCCommentBucolic Plague |= 머리에 안개가 낀 것 같아.
Symptom1NPCCommentBucolic Plague |= 자꾸 졸음이 쏟아져.
Symptom1NPCCommentBucolic Plague |= 꿈을 꾸는 데 너무 많은 시간을 보내.
Symptom1NPCCommentBucolic Plague |= 걸으면서 잠들어.
Symptom2NPCCommentBucolic Plague |= 에너지가 없어.
Symptom2NPCCommentBucolic Plague |= 편안하지만 기운이 빠져.
Symptom2NPCCommentBucolic Plague |= 무기력한 기분이드네.
Symptom0NPCCommentDamp Spirits |= 아무것도 나를 흥분시키지 못해.
Symptom0NPCCommentDamp Spirits |= 나는 로맨스에 신경을 쓸 수가 없어.
Symptom0NPCCommentDamp Spirits |= 내 종마는 절름발이 노새야.
Symptom1NPCCommentDamp Spirits |= 내 내면이 약한것 같아.
Symptom1NPCCommentDamp Spirits |= 모든 것이 나에게 영향을 미쳐.
Symptom1NPCCommentDamp Spirits |= 강화가 필요해.
Symptom2NPCCommentDamp Spirits |= 저주를 받은 것 같아.
Symptom2NPCCommentDamp Spirits |= 마녀가 나를 싫어하는 게 분명해.
Symptom2NPCCommentDamp Spirits |= 어두운 구름이 나를 덮고 있어.
SymptomNameGoosedbumps |= 소름
Symptom0NPCCommentGoosedbumps |= 어두운 무언가를 만졌어.
Symptom0NPCCommentGoosedbumps |= 무덤 옆에서 잠든 것 같아.
Symptom0NPCCommentGoosedbumps |= 브루니가 나에게 마법을 걸었던 것 같아.
Symptom1NPCCommentGoosedbumps |= 내 더미는 거대하다!
Symptom1NPCCommentGoosedbumps |= 바람이 강풍보다 더 세다.
Symptom1NPCCommentGoosedbumps |= 속이 울렁거려.
Symptom2NPCCommentGoosedbumps |= 계속 잠들어.
Symptom2NPCCommentGoosedbumps |= 졸음이 많아졌어.
Symptom2NPCCommentGoosedbumps |= 모든 것이 나를 피곤하게 만들어.
Symptom0NPCCommentBubble Bobblehat |= 매우... 어려워... 말하기가... 어려워.
Symptom0NPCCommentBubble Bobblehat |= 말을 많이 못해.
Symptom0NPCCommentBubble Bobblehat |= 난 말이 아니라 거품 기억을 가지고 있어.
Symptom1NPCCommentBubble Bobblehat |= 체력이 더 필요해
Symptom1NPCCommentBubble Bobblehat |= 뭐든 날 터뜨릴 수 있을 것 같아
Symptom1NPCCommentBubble Bobblehat |= 내 튼튼한 두개골이 필요해.
Symptom2NPCCommentBubble Bobblehat |= 녹색 공룡 냄새가 나.
Symptom2NPCCommentBubble Bobblehat |= 이 냄새 좀 없애줄래, 버브?
Symptom2NPCCommentBubble Bobblehat |= 이 악취를 없애주면 100점 줄게!
Symptom0NPCCommentPixellation |= 너무 현실적인 느낌이야.
Symptom0NPCCommentPixellation |= 내 인생에 색이 필요해.
Symptom0NPCCommentPixellation |= 마음을 다잡고 싶어요.
Symptom1NPCCommentPixellation |= 대화를 하려면 결심이 필요해.
Symptom1NPCCommentPixellation |= 내 목소리가 작아졌어.
Symptom1NPCCommentPixellation |= 말하고 싶지 않아.
Symptom2NPCCommentPixellation |= 인생의 모든 것이 막막해.
Symptom2NPCCommentPixellation |= 포기하고 싶은 기분이 들어.
Symptom2NPCCommentPixellation |= 더 이상 아무것도 좋아 보이지 않아.
SymptomNameSwollen Melancholy |= 밀려오는 우울
Symptom0NPCCommentSwollen Melancholy |= 바람을 좀 쐬어야겠어.
Symptom0NPCCommentSwollen Melancholy |= 머릿속에 가스가 차서... 가스가 쌓여 있어.
Symptom0NPCCommentSwollen Melancholy |= 머리속이 멍해.
Symptom1NPCCommentSwollen Melancholy |= 머리가 엄청나게 커졌어.
Symptom1NPCCommentSwollen Melancholy |= 머리가 큰 것 같아.
Symptom1NPCCommentSwollen Melancholy |= 내 뼈가 부어 있어.
Symptom2NPCCommentSwollen Melancholy |= 칙칙한 느낌
Symptom2NPCCommentSwollen Melancholy |= 오... 더 이상 말하고 싶지 않아.
Symptom2NPCCommentSwollen Melancholy |= 모든 것이 쓰레기야.
ApothCustomerCheckStored |= 창고
ApothCustomerMakeCure |= 제작
ApothCustomerDismiss |= 해고
ApothCustomerHowCanIHelp |= 돕기
ApothCustomerTryElsewhere |= 다른 곳에서 시도해 볼 것 같아요.
ApothWorkerIntro |= 무슨 문제가 있는 것 같나요?
ApothWorkerCraft |= 이제 만들 시간입니다.
ApothWorkerPlacebo |= 이 마법의 냄비가 확실히 도움이 될 거예요.
ApothWorkerStored |= 이 미리 만든 치료제가 도움이 될 것입니다.
ApothWorkerCraftFinished |= 여러분만을 위해 특별히 제작된 제품입니다.
ApothWorkerSeller |= 지금은 아이템을 구매할 수 없습니다.
MasterDefaultReply |= 지금 당장은 해줄 말이 없습니다.
MasterNoSkillsLeft |= 더 이상 가르쳐 줄 기술이 없습니다.
Combat_Tutorial_Melee_0 |= 좋아, 요령을 터득해보자! 보시다시피, 이동할 수 있는 위치는 3개다. 움직일 때마다 체력이 조금씩 줄어든다. 전투는 모두 체력을 기반으로 한다. 발 아래에는 체력이 표시된다. <combat_updown>으로 위아래로 움직인다.
Combat_Tutorial_Melee_1 |= 엄청나군! 이것을 사용해 들어오는 공격을 피해라. 자, 타격을 해보자. 저 인형들이 보이나? 커서로 클릭하거나 해당 적의 위치에 <combat_top>, <combat_left> 또는 <combat_bottom>을 눌러라. 뒤쪽의 지원군은 직접 공격할 수 없으므로 다른 적을 먼저 모두 제거하여 검의 사정거리 안으로 끌어들여야 한다. 인형 몇 개를 치되 체력에 주의해. 적중할 때마다 체력이 1칸씩 소모된다. 그리고 이것도 기억해라! 자신의 라인 또는 대각선으로만 공격할 수 있다. 따라서 중간 위치에서는 위쪽과 아래쪽도 공격할 수 있지만 위쪽이나 아래쪽에서는 중간 위치나 현재 있는 라인만 공격할 수 있다!
Combat_Tutorial_Melee_2 |= 잘했어! 이제 장애물을 추가해보자. 적들은 노드라고 부르는 곳에 물건을 내려놓아 플레이어를 공격하거나 방해할 수 있다. 노드는 너와 몬스터의 중간에 위치한다. 일부는 부술 수 있지만, 대각선으로 공격하여 피할 수 있는 것도 있다. 이 인형을 부수고 장애물을 피해봐!
Combat_Tutorial_Melee_3 |= 주목! 아이템도 사용할 수 있다. <combat_item>을 눌러라. 아이템을 사용하려면 대상을 클릭하거나, <ui_up> 및 <ui_down>을 사용하여 대상을 강조 표시하고 <ui_accept>를 눌러라. 아이템은 자신이나 노드에 사용하거나 적에게 직접 던질 수 있다. 내가 여러분에게 선택권을 줬으니 지금 모두 사용해봐!
Combat_Tutorial_Melee_4 |= 그게 바로 그거야, 응? 이제 방어를 배워보자! <combat_block>으로 공격을 차단할 수 있다. 밥을 만나보자. 그는 매우 잘 훈련되어 있어 너를 해치지 않을거다. 공격을 막으려고 노력해봐. 체력 바 아래에 있는 작은 바를 보면 그가 언제 어떤 행동을 할 수 있는지 알 수 있다. 생각보다 어렵지 않아!
Combat_Tutorial_Melee_5 |= 바로 그거야! 하지만 몬스터의 힘이 너의 방어력보다 높을 경우 막기를 뚫고 피해를 입히므로 체력을 강화하거나 조심해라! 그리고 왼쪽 상단에 있는 체력을 확인해봐. 일부 아이템은 체력을 약간 회복할 수 있고, 숲에는 체력을 회복하는 데 사용할 수 있는 캠프파이어도 있다. 이것으로 기본은 끝났다. 타격 타이밍을 잘 맞춰서 멋진 콤보로 추가 공격을 할 수 있도록 알려줄 수도 있지만 직접 배워라. 이제 밥, 그롭, 티모시를 상대로 시험해 보겠다. 그 중 하나의 이빨을 가져오면 한 가지 기술을 가르쳐주지!
Combat_Tutorial_Melee_6 |= 잘했어! 넌 확실히 야수를 물리칠 수 있는 기술을 가졌어. 그 이빨 대신에 내가 약속한 기술을 알려주지. 패리라는 기술이다. 적이나 투사체가 나를 맞히려 할 때 블록을 누르면 반사된다! 패리 후 빠르게 공격하면 자유롭게 반격할 수 있지! 투사체라면 바로 다시 날아간다! 
Combat_Tutorial_Melee_7 |= 더 많은 기술을 배우고 싶다면 리버무어 남서쪽에 있는 우리 집으로 와라. 앞으로 며칠 동안 더 많은 기술을 배우는 데 집중하는 게 좋겠군. 내가 너에게 알려줄 수 있는 두 가지는 '때리고, 때리고, 때리고'하는 트라이 콤보와 옆에서 싸울 동료를 데려올 수 있는 애완동물 지원이다. 곧 유용하게 사용할 수 있을 거다. 또한 전투에서 얻은 전리품으로 다른 마스터를 도울 수 있다.
Combat_Tutorial_Ranged_0 |= 전투에서 활은 주로 적을 방해하는 데 사용된다. 화살은 방어를 즉시 부수고 적의 공격을 방해하며 체력을 없앨 수 있다. <combat_bow> 를 눌러 활 시위를 당기고 <combat_bowaim> 을 사용해 적을 선택한다. 놓으면 쏘게되지. 빠르게 시위를 당겨서 발사할 수 있지만, 정확도 스탯이 좋은지 확인해라. 명중시켜야 할 목표물이 몇 개 있다. 화살통에는 화살을 6개만 넣을 수 있으니 현명하게 사용하도록!
Combat_Tutorial_Ranged_1 |= 너의 잠재력은 별처럼 반짝이는군. 활은 사용할수록 더욱 강력해진다. 숙련된 활은 정말 치명적인 무기가 되지! 하지만 지금은 여기까지만 알아두도록. 적에게 악몽이 될 수 있는 기술을 배우고 싶다면 내 텐트로 돌아와라. 이만 작별을 고하지.
CombatItem863Desc |= 노드: 공격 및 방어력 감소
CombatItem862Desc |= 노드: 데미지 입힘
CombatItem459Desc |= 노드: 적 이동 속도 감소
CombatItem854Desc |= 나: 방어력 증가
CombatItem858Desc |= 나: 치료
CombatItem922Desc |= 나: 디버프 제거
CombatItem924Desc |= 적: 방어 부수기 및 공격 중지
CombatItem923Desc |= 적: 체력 감소 및 데미지 vs 숲 할망
DandyLeonIntro |= 내 소박한 부티크에 온것을 환영해. 잘 맞는 옷을 좋아하는 사람처럼 보이네.
DandyLeonIntro |= 우리 워마쉬 사람들은 화려한 의상과 의상을 입을 때 또 다른 캐릭터가 되는 예술을 즐기는 민족의 후예야. 옷은 그 사람의 모든 것을 말해주며, 사람은 옷을 통해 내면의 영혼을 표현할 수 있지.
DandyLeonIntro |= 내 상품을 둘러보는 건 어떨까? 언제든지 나와 대화하려면 상점 간판 아이콘을 선택해. 내가 특이하게 결제 받는 걸 볼수도 있겠다! 돈은 너무 오래된 것이고, 여기서는 낡은 모자를 팔지 않으니까!
DandyLeonNormal |= 다시 한 번 환영해! 삶에 약간의 색채가 필요하니?
DandyLeonNormal |= 멋지게 차려입고 싶은거야?
DandyLeonNormal |= 내 옷이 너의 손길을 기다리고 있어.
DandyLeonNormal |= 새로운 원단의 촉감이 필요해?
DandyLeonNormal |= 사이즈에 맞게 입어보는 건 어떨까?
DandyLeonNormal |= 내 탈의실이 기다리고 있어. 안타깝게도 다른 세계로 통하는 포털은 없지만.
DandyLeonNormal |= 줄자를 가져와서 새 옷의 사이즈를 재어줄까?
DandyLeonNormal |= 오늘은 무엇을 도와줄까? 드레스를 원해?
DandyLeonNormal |= 내 무지개색 옷차림을 잘 살펴봐.
WitchHunterIntro |= 안녕, 낯선 사람. 혼자서도 뭐든 잘하는 사람같네. 어두운 숲을 청소하는 일을 해볼래? 도전할 만큼 강한 사람만 고용하고 싶어. 내가 원하는 일을 해낸다면 멋진 아이템 꾸러미를 보상으로 줄게. 어때?
WitchHunterNormal |= 더 많은 도전이 필요해? 망토에 피가 묻어도 괜찮은 사람을 위한 일이 많이 있지.
PriestHello |= 안녕하세요. 오늘은 어떤 도움이 필요하신가요?
PriestExchange |= <item:472> 를 <item:308> 로 교환하시겠어요?
PriestBindingBand |= 저는 결혼을 담당하고 있습니다. 신선하고 새로운 '당신과 나의 파이'를 구운 후 저를 찾아와 바인딩 밴드로 교환하세요.
PriestTimeToMarry |= 이제 결혼할 준비가 되셨나요?
PriestGiveBindingBand |= 자, 여기에 있습니다. 당신만을 위해 제작된 아름다운 <item:Binding_Band>. 깨지지 않는 원은 영원한 사랑을 의미하죠.
PriestOptionDivorce |= 이혼
PriestOptionMarriage |= 결혼
PriestOptionBindingBand |= 바인딩 밴드
PriestOptionBless |= 축복의 물
PriestOptionBye |= 잘 가요
PriestAskDivorce |= ☎<VAR2>에 대한 <VAR1> 이혼?
PriestCannotAffordDivorce |= 이혼할 여력이 없군요. 다시 생각해 보거나 물건을 팔아야 할지도 모르죠?
PriestBlessedWater |= 당신을 위해 <item:Water> 하나를 축복해 주었습니다.
PriestNoWater |= 축복할 <item:Water>이 없습니다.
GhostTrader_Intro |= 스파이 중에서 구매자를 구분하고 그렇지 않은 사람 중에서 나를 볼 수 있는 사람을 분류하자.\n여기서 가치를 찾지 못한다면 쇼핑을 하는 것이 아니라 도둑질 하러 온거겠지.
GhostTrader_Intro |= 이 물건들이 보여? 데이라이트 하알라이트, 가스라이트의 모든 사람들은 본 적이 없지.\n보석 좋아하는 사람있어? 서머다운에서 수작업으로 만든, 저승에서 도둑맞은 노력이지.
GhostTrader_Intro |= 그럼 무엇을 도와줄까?
GhostTrader_Return |= 맞아 맞아! 옵스큐라를 가진 옵스큐러야.
GhostTrader_Return |= 선물용 말을 입에다 대본 적은 없지만, 말이 무엇인지 궁금하게 만드는 선물이 있지.
GhostTrader_Return |= 자, 오늘은 어떤 선물이 마음에 들어? 냉정한 서머다운 사람보다 더 희귀한 아이템이 준비되어 있습니다.
GhostTrader_Confirm |= 이 몬스터 부속품물 묶음을 구매하고 싶어... 값은 간단한 저주로 치르고?
GhostTrader_Bought |= 잘 가길.
GhostTrader_Goodbye |= 그럼 안녕.
GhostTrader_AlreadyCursed |= 너는 이미 저주를 받았어.

Hag_CombatTutorial_1_PAD |= 나의 어두운 숲에 오신 것을 환영한다... 반격하려면 <combat_top>, <combat_left> 또는 <combat_bottom>을 눌러라.
Hag_CombatTutorial_1_KBM |= 나의 어두운 숲에 오신 것을 환영한다... 몬스터를 클릭하거나 <combat_top>, <combat_left> 또는 <combat_bottom>을 눌러 반격해라.
Hag_CombatTutorial_2_PAD |= 무엇이 무섭나, <PlayerName>? 공격하려면 <combat_top>, <combat_left> 또는 <combat_bottom>을 눌러라.
Hag_CombatTutorial_2_KBM |= 무엇이 무섭나, <PlayerName>? 몬스터를 클릭하거나 <combat_top>, <combat_left>, <combat_bottom>을 눌러 공격해라.
HagSally_Intro |= 내 덫에 걸렸군, 인간 벌레야. 이리 와서 샐리 블러드네일을 안아주렴! <anim_wave> 하하하하!
HagSally_Defeated |= 이번엔 네가 날 이겼을지 몰라도, 이 작은 벌레야, 이것만은 알아둬. IT는 널 알고 있고 네 영혼을 천천히 먹어치우기로 맹세했어. <anim_wave> 하하하아아아하!
HagAlice_Intro |= 넌 놀아난거야! 어둠의 심장의 군주가 네 죽음을 요구한다! 이리 와서 늙은 앨리스 스크래치아이를 안아주렴! <anim_wave> 하하하하!
HagAlice_Defeated |= 주군, 제가 당신을 실망시켰습니다. 반드시 복수하겠습니다! <anim_wave> 아아아악!
HagBetty_Intro |= 오오오, 너무 귀엽다! 헤헤헤! 잭보다 훨씬 귀엽네. 아니면 톰이었던가? 헤헤! 맛있는 녀석아, 베티 스트랭글위즈 아줌마에게 뽀뽀 해보렴!
HagBetty_Defeated |= 나의 주군께서 너를 보고 계신다! 네가 누구인지 알고 계시지! 넌 그를 이길 수 없어! <anim_wave> 냐아아악!
NPCRescue |= 정말 고마워! 이제 이 끔찍한 곳에서 벗어날 수 있을까?
NPCRescue[C] |= 드디어 왔군, <PlayerName>! 뭐하고 놀았던 거야?
NPCRescue[B] |= 와줘서 고마워. 시간이 돈인데 나는 그냥 흘려보내고 있었어!
NPCRescue[J] |= 와주신 여신들을 찬양하라! 마지막 페이스트리까지 먹어버렸어!
NPCRescue[Q] |= 와헤이! 구조대원들이야! 이제 데일에서 감자칩을 좀 먹고 싶어!
NPCRescue[P] |= 여신들이 날 구하기 위해 너를 보냈나봐! 여신을 찬양하라!
PigRescue |= 꾸잉! 꿀 꿀!
SheepRescue |= 메 메! 메에에!
DogRescue |= 월! 월! 월!
CatRescue |= 야옹! 갸르릉!
ChickenRescue |= 꼬 꼬! 꼬!
NOT_ENOUGH_BRASS_ERROR |= 지금은 지불할 수 없는 금액입니다.
NO_PERMISSION_ERROR |= 이것은 다른 사람의 소유입니다!
NOT_OLD_ENOUGH_FOR_SHOP |= 이 상점을 구매하려면 나이가 더 많아야 합니다.
NOT_OLD_ENOUGH |= 나이가 들었을 때 이것을 사용할 수 있습니다.
CANNOT_OWN_SHOP_YET |= 아직 이 상점을 소유할 수 없습니다.
SHOP_NEEDS_REPAIR |= 이 상점을 소유하려면 수리가 필요합니다.
BUY_SHOP_FROM_LEDGER |= 장부을 통해 구매 - 그랜드마스터를 만날 때 제공됩니다...
OCCUPIED_ERROR |= 이미 점유됨
NO_BID_ERROR |= 입찰할 항목 없음
ENDING_BID_ERROR |= 이번 경매는 곧 종료됩니다
ALREADY_GROWING_ERROR |= 거기에는 이미 뭔가가 자라고 있습니다
MARRIED_CONGRATULATIONS |= 축하합니다!
MARRIED_INFO |= 당신은 이제 결혼했습니다! 당신의 아름다운 반쪽이 신혼집에서 기다리고 있습니다. 두 사람의 결합이 즐겁고 풍성한 결실을 맺기를 바랍니다!
DISCOVERED_DATE_LOCATION |= 발견된 데이트 장소!
TASK_COMPLETED |= 과제 완료!
GATHERING_RETURN |= 수집물 반환
GATHER_MESSAGE |= <VAR1> 이(가) 채집을 마치고 돌아왔습니다.
RIDING_THROWN_OFF |= 불행으로 인해 버려짐
ANIMAL_LIMIT_ERROR |= 이 동물 유형은 3 마리만 소유할 수 있습니다.
RACING_EVENT_ENDED |= 오늘은 더 이상 경주가 없습니다. 다음에 다시 시도하세요.
MarriageStat0 |= 망치의 관리자, 고프\n명중 +3
MarriageStat1 |= 별의 운반자, 시손\n거래 +3
MarriageStat2 |= 세계의 치유자, 디안\n지능 +3
MarriageStat3 |= 환희의 정령, 수클로스\n속도 +3
MarriageStat4 |= 보호자이자 수호자, 방가이스\n힘 +3
StoppedShopping |= 시간이 됐어?  지금 가야해.
ForgetMeFlowerUsed |= 누구라고?
RabbitCorndollRejection |= 그럴 일은 없을 거야.
RoseOfRomanceRejection |= 그럴 일은 없을 거야.
RoseOfRomanceRejection_AlreadyMarried |= 우리는 이미 전에 결혼을 했었어. 성령이 우리를 떠났기 때문에 우리의 길은 다른 곳에 놓여 있었어.
WhiteRoseRejection |= 그럴 일은 없을 거야.
WhiteRoseRejectionAlreadyGotTask |= 이미 다른 사람과 결혼 의식을 시작했잖아!
WhiteRoseRejectionNotFirstDay |= 결혼 예식은 한주의 첫번째 날에 치러야해.
WhiteRoseRejectionWinter |= 겨울에는 결혼할 수 없어!
DandelionRejection |= 관심 없어, 내가 직접 고를 수 있어!
DateClashError |= 이미 데이트가 잡혀있잖아!
DateAcceptance |= 좋아, 데이트야! <VAR1> <VAR2> 에 있는 우리집에서 만나자.
DateAcceptanceWork |= 좋아, 데이트야! Meet me at my work at <VAR1> <VAR2> 에 있는 내 직장에서 만나자.
RomanticRejectionAngry |= 난 그런 것엔 관심 없어!
RoseOfRomanceRejectionNeutral |= 난 너를 별로 좋아하지 않아...
WhiteRoseRejectionNeutral |= 나는 너를 사랑하지 않아...
WhiteRoseRejectionAlreadyMarriedToSamePerson |= 우리는 이미 결혼했어.
WhiteRoseRejectionAlreadyMarried |= 이미 결혼했잖아.
MarriageFirstDayOfWeekError |= 전통적으로 결혼 제안은 주의 첫날에 이루어집니다!
RoseOfRomanceAgeError |= 데이트는 <VAR1>세 이상만 가능합니다!
MarriageAgeError |= <VAR1>세 이상만 결혼할 수 있습니다!
MarriageDisplayTask |= <VAR1> 과의 결혼으로 가는 길
MarriageDayTaskStep |= 러버우드의 <VAR1>에서 결혼하세요.
MarriageDayDescription |= 오후 <VAR3> 이전에 <VAR2>에서 <VAR1>과 결혼하세요.
WheelBabyPopup |= 축하해요! 여신께서 당신에게 아이를 축복해 주셨습니다. 황새는 일주일 안에 새로운 기쁨의 보따리를 집으로 배달할 것입니다!
WheelTwinsPopup |= 축하해요! 여신께서 당신에게 쌍둥이를 축복하셨습니다. 황새는 일주일 안에 새로운 기쁨의 보따리를 집으로 배달할 것입니다!
WheelResultDescription0 |= 우정 감소
WheelResultDescription1 |= 효과 없음
WheelResultDescription2 |= 우정 증가
WheelResultDescription3 |= 아기!
DateReward |= FP
DateDisplayText |= <VAR1>와의 데이트
DatePreDescription |= <DATE> <START>부터 <END> 사이에 <PLACE>에 있는 집에서 <NAME>을 만나세요.
DateWorkingPreDescription |= <DATE> <START>부터 <END> 사이에 <PLACE> 직장에서 <NAME>을 만나세요.
DateChatTextCook |= 집에서 밥 한 끼 해줘!
DateChatTextShow |= 마을 주점으로 가자.
DateChatTextGift |= 좋아요, 어떤 선물을 준비했어?
DateChatTextMusic |= 음악을 들려줘.
DateTaskCook |= 데이트를 위해 집에서 요리를 해보세요.
DateTaskShow |= 마을 주점을 방문하세요.
DateTaskGift |= 선물하기.
DateTaskMusic |= 음악 들려주기.
DateChatMusicPlaying1 |= 좋아, 멈추지마. 끝날 때까지 들을 수 있어.
DateChatMusicPlaying2 |= 아름다워. 누가 내 귀에 꿀을 부은 것 같아.
DateChatMusicPlaying3 |= 놀라워요 너는 음악에 재능이 있구나. 
DateChatMusicStopped |= 아아아, 계속 들려줘. 내 귀에 아름다운 선율이 들려.
DateChatMusicEnd |= 정말 멋진 음악이야. 넌 마음에서 우러나오는 연주로 내 영혼을 울렸어.
DateChatMusicEnd |= 나는 꿈속에서 그 현악기 소리를 듣고 있어. 내가 너의 류트가 되어도 될까?
DateChatMusicEnd |= 듣고 잠들 뻔했어! 정말 꿈만 같아!
DateChatMusicEnd |= 우리가 함께 이렇게 아름다운 음악을 만들 수 있다니.
DateChatMusicEnd |= 내 가슴이 떨렸어. 귀가 녹고 다리가 젤리처럼 흐물거려.
DateChatMusicEnd |= 데이트하는 두 사람에게 딱 선곡이네. 더 많은 것을 원하지만 지나친 로맨스는 지진과 떨림으로 이어질 수 있으니까.
MarriageAwaitNextDay |= 다음 날의 일을 기다리세요.
NPCNearbySleeping |= ZzzzZzzz
NPCBabyCrying |= 으아아앙
NPCIll |= (콜록)
NPCWorking |= 일하는 중
NPCEating |= 먹는 중
NPCWhistling |= <anim_wave>(휘파람)
CatNearby |= 야옹
OwlNearby |= 부우 부우
DogNearby |= 멍멍
PigNearby |= 꿀꿀
CowNearby |= 음메
SheepNearby |= 메에
ChickenNearby |= 꼬꼬
ChickNearby |= 삐약
BumpaNearby |= 블룹
BumpaNearby |= 프눕
SimCookingNoIngredients |= 찬장이 비었습니다.
